BudgetBookVersion	Ministry	HeadNumber	HeadName	BudgetYear	DataVersion	DataValue
1992	NON-MINISTRY DEPARTMENTS	01	GOVERNOR & STAFF	1990	ACTUAL	136
1992	NON-MINISTRY DEPARTMENTS	01	GOVERNOR & STAFF	1991	ORIGINAL	39
1992	NON-MINISTRY DEPARTMENTS	01	GOVERNOR & STAFF	1991	REVISED	39
1992	NON-MINISTRY DEPARTMENTS	01	GOVERNOR & STAFF	1992	ESTIMATE	17
1992	NON-MINISTRY DEPARTMENTS	02	LEGISLATURE	1990	ACTUAL	13
1992	NON-MINISTRY DEPARTMENTS	02	LEGISLATURE	1991	ORIGINAL	16
1992	NON-MINISTRY DEPARTMENTS	02	LEGISLATURE	1991	REVISED	16
1992	NON-MINISTRY DEPARTMENTS	02	LEGISLATURE	1992	ESTIMATE	0
1992	NON-MINISTRY DEPARTMENTS	03	JUDICIAL DEPARTMENT	1990	ACTUAL	21
1992	NON-MINISTRY DEPARTMENTS	03	JUDICIAL DEPARTMENT	1991	ORIGINAL	70
1992	NON-MINISTRY DEPARTMENTS	03	JUDICIAL DEPARTMENT	1991	REVISED	87
1992	NON-MINISTRY DEPARTMENTS	03	JUDICIAL DEPARTMENT	1992	ESTIMATE	0
1992	NON-MINISTRY DEPARTMENTS	04	ATTORNEY GENERAL'S CHAMBERS	1990	ACTUAL	18
1992	NON-MINISTRY DEPARTMENTS	04	ATTORNEY GENERAL'S CHAMBERS	1991	ORIGINAL	0
1992	NON-MINISTRY DEPARTMENTS	04	ATTORNEY GENERAL'S CHAMBERS	1991	REVISED	2
1992	NON-MINISTRY DEPARTMENTS	04	ATTORNEY GENERAL'S CHAMBERS	1992	ESTIMATE	0
1992	NON-MINISTRY DEPARTMENTS	05	AUDIT	1990	ACTUAL	2
1992	NON-MINISTRY DEPARTMENTS	05	AUDIT	1991	ORIGINAL	23
1992	NON-MINISTRY DEPARTMENTS	05	AUDIT	1991	REVISED	17
1992	NON-MINISTRY DEPARTMENTS	05	AUDIT	1992	ESTIMATE	31
1992	NON-MINISTRY DEPARTMENTS	09	CABINET OFFICE	1990	ACTUAL	265
1992	NON-MINISTRY DEPARTMENTS	09	CABINET OFFICE	1991	ORIGINAL	12
1992	NON-MINISTRY DEPARTMENTS	09	CABINET OFFICE	1991	REVISED	28
1992	NON-MINISTRY DEPARTMENTS	09	CABINET OFFICE	1992	ESTIMATE	0
1992	NON-MINISTRY DEPARTMENTS	26	PERSONNEL SERVICES	1990	ACTUAL	11
1992	NON-MINISTRY DEPARTMENTS	26	PERSONNEL SERVICES	1991	ORIGINAL	0
1992	NON-MINISTRY DEPARTMENTS	26	PERSONNEL SERVICES	1991	REVISED	0
1992	NON-MINISTRY DEPARTMENTS	26	PERSONNEL SERVICES	1992	ESTIMATE	9
1992	MINISTRY OF FINANCE	10	MINISTRY OF FINANCE HQ	1990	ACTUAL	765
1992	MINISTRY OF FINANCE	10	MINISTRY OF FINANCE HQ	1991	ORIGINAL	510
1992	MINISTRY OF FINANCE	10	MINISTRY OF FINANCE HQ	1991	REVISED	247
1992	MINISTRY OF FINANCE	10	MINISTRY OF FINANCE HQ	1992	ESTIMATE	530
1992	MINISTRY OF FINANCE	11	ACCOUNTANT GENERA	1990	ACTUAL	0
1992	MINISTRY OF FINANCE	11	ACCOUNTANT GENERA	1991	ORIGINAL	7
1992	MINISTRY OF FINANCE	11	ACCOUNTANT GENERA	1991	REVISED	7
1992	MINISTRY OF FINANCE	11	ACCOUNTANT GENERA	1992	ESTIMATE	10
1992	MINISTRY OF FINANCE	12	CUSTOMS	1990	ACTUAL	233
1992	MINISTRY OF FINANCE	12	CUSTOMS	1991	ORIGINAL	225
1992	MINISTRY OF FINANCE	12	CUSTOMS	1991	REVISED	390
1992	MINISTRY OF FINANCE	12	CUSTOMS	1992	ESTIMATE	43
1992	MINISTRY OF FINANCE	13	POST OFFICE	1990	ACTUAL	104
1992	MINISTRY OF FINANCE	13	POST OFFICE	1991	ORIGINAL	492
1992	MINISTRY OF FINANCE	13	POST OFFICE	1991	REVISED	682
1992	MINISTRY OF FINANCE	13	POST OFFICE	1992	ESTIMATE	144
1992	MINISTRY OF FINANCE	14	STATISTICS	1990	ACTUAL	50
1992	MINISTRY OF FINANCE	14	STATISTICS	1991	ORIGINAL	0
1992	MINISTRY OF FINANCE	14	STATISTICS	1991	REVISED	0
1992	MINISTRY OF FINANCE	14	STATISTICS	1992	ESTIMATE	0
1992	MINISTRY OF FINANCE	28	SOCIAL INSURANCE	1990	ACTUAL	2
1992	MINISTRY OF FINANCE	28	SOCIAL INSURANCE	1991	ORIGINAL	0
1992	MINISTRY OF FINANCE	28	SOCIAL INSURANCE	1991	REVISED	0
1992	MINISTRY OF FINANCE	28	SOCIAL INSURANCE	1992	ESTIMATE	0
1992	MINISTRY OF FINANCE	38	OFFICE OF THE TAX COMMISSIONER	1990	ACTUAL	0
1992	MINISTRY OF FINANCE	38	OFFICE OF THE TAX COMMISSIONER	1991	ORIGINAL	12
1992	MINISTRY OF FINANCE	38	OFFICE OF THE TAX COMMISSIONER	1991	REVISED	12
1992	MINISTRY OF FINANCE	38	OFFICE OF THE TAX COMMISSIONER	1992	ESTIMATE	0
1992	MINISTRY OF FINANCE	43	COMPUTER SYSTEMS & SERVICES DEPT	1990	ACTUAL	1492
1992	MINISTRY OF FINANCE	43	COMPUTER SYSTEMS & SERVICES DEPT	1991	ORIGINAL	2441
1992	MINISTRY OF FINANCE	43	COMPUTER SYSTEMS & SERVICES DEPT	1991	REVISED	2826
1992	MINISTRY OF FINANCE	43	COMPUTER SYSTEMS & SERVICES DEPT	1992	ESTIMATE	2215
1992	MINISTRY OF MANAGEMENT AND INFORMATION SERVICES	51	GOVERNMENT INFORMATION SERVICES	1990	ACTUAL	22
1992	MINISTRY OF MANAGEMENT AND INFORMATION SERVICES	51	GOVERNMENT INFORMATION SERVICES	1991	ORIGINAL	24
1992	MINISTRY OF MANAGEMENT AND INFORMATION SERVICES	51	GOVERNMENT INFORMATION SERVICES	1991	REVISED	44
1992	MINISTRY OF MANAGEMENT AND INFORMATION SERVICES	51	GOVERNMENT INFORMATION SERVICES	1992	ESTIMATE	0
1992	MINISTRY OF EDUCATION	17	DEPARTMENT OF EDUCATION	1990	ACTUAL	3405
1992	MINISTRY OF EDUCATION	17	DEPARTMENT OF EDUCATION	1991	ORIGINAL	3299
1992	MINISTRY OF EDUCATION	17	DEPARTMENT OF EDUCATION	1991	REVISED	3299
1992	MINISTRY OF EDUCATION	17	DEPARTMENT OF EDUCATION	1992	ESTIMATE	15413
1992	MINISTRY OF EDUCATION	18	LIBRARIES	1990	ACTUAL	22
1992	MINISTRY OF EDUCATION	18	LIBRARIES	1991	ORIGINAL	20
1992	MINISTRY OF EDUCATION	18	LIBRARIES	1991	REVISED	26
1992	MINISTRY OF EDUCATION	18	LIBRARIES	1992	ESTIMATE	236
1992	MINISTRY OF EDUCATION	19	ARCHIVES	1990	ACTUAL	10
1992	MINISTRY OF EDUCATION	19	ARCHIVES	1991	ORIGINAL	8
1992	MINISTRY OF EDUCATION	19	ARCHIVES	1991	REVISED	40
1992	MINISTRY OF EDUCATION	19	ARCHIVES	1992	ESTIMATE	50
1992	MINISTRY OF EDUCATION	41	BERMUDA COLLEGE	1990	ACTUAL	3150
1992	MINISTRY OF EDUCATION	41	BERMUDA COLLEGE	1991	ORIGINAL	3150
1992	MINISTRY OF EDUCATION	41	BERMUDA COLLEGE	1991	REVISED	3150
1992	MINISTRY OF EDUCATION	41	BERMUDA COLLEGE	1992	ESTIMATE	3000
1992	MINISTRY OF EDUCATION	52	CULTURAL AFFAIRS	1990	ACTUAL	0
1992	MINISTRY OF EDUCATION	52	CULTURAL AFFAIRS	1991	ORIGINAL	70
1992	MINISTRY OF EDUCATION	52	CULTURAL AFFAIRS	1991	REVISED	70
1992	MINISTRY OF EDUCATION	52	CULTURAL AFFAIRS	1992	ESTIMATE	70
1992	MINISTRY OF HEALTH, SOCIAL SERVICES AND HOUSING	21	MINISTRY OF HEALTH, SOCIAL SERVICES & HOUSING HQ	1990	ACTUAL	0
1992	MINISTRY OF HEALTH, SOCIAL SERVICES AND HOUSING	21	MINISTRY OF HEALTH, SOCIAL SERVICES & HOUSING HQ	1991	ORIGINAL	12
