BudgetBookVersion	Ministry	HeadNumber	HeadName	BudgetYear	DataVersion	DataValue
1992	NON-MINISTRY DEPARTMENTS	01	GOVERNOR & STAFF	1990	ACTUAL	14
1992	NON-MINISTRY DEPARTMENTS	01	GOVERNOR & STAFF	1991	ORIGINAL	15
1992	NON-MINISTRY DEPARTMENTS	01	GOVERNOR & STAFF	1991	REVISED	15
1992	NON-MINISTRY DEPARTMENTS	01	GOVERNOR & STAFF	1992	ESTIMATE	14
1992	NON-MINISTRY DEPARTMENTS	02	LEGISLATURE	1990	ACTUAL	5
1992	NON-MINISTRY DEPARTMENTS	02	LEGISLATURE	1991	ORIGINAL	6
1992	NON-MINISTRY DEPARTMENTS	02	LEGISLATURE	1991	REVISED	7
1992	NON-MINISTRY DEPARTMENTS	02	LEGISLATURE	1992	ESTIMATE	7
1992	NON-MINISTRY DEPARTMENTS	03	JUDICIAL DEPARTMENT	1990	ACTUAL	46
1992	NON-MINISTRY DEPARTMENTS	03	JUDICIAL DEPARTMENT	1991	ORIGINAL	49
1992	NON-MINISTRY DEPARTMENTS	03	JUDICIAL DEPARTMENT	1991	REVISED	49
1992	NON-MINISTRY DEPARTMENTS	03	JUDICIAL DEPARTMENT	1992	ESTIMATE	49
1992	NON-MINISTRY DEPARTMENTS	04	ATTORNEY GENERAL'S CHAMBERS	1990	ACTUAL	28
1992	NON-MINISTRY DEPARTMENTS	04	ATTORNEY GENERAL'S CHAMBERS	1991	ORIGINAL	28
1992	NON-MINISTRY DEPARTMENTS	04	ATTORNEY GENERAL'S CHAMBERS	1991	REVISED	27
1992	NON-MINISTRY DEPARTMENTS	04	ATTORNEY GENERAL'S CHAMBERS	1992	ESTIMATE	25
1992	NON-MINISTRY DEPARTMENTS	05	ADUTI	1990	ACTUAL	12
1992	NON-MINISTRY DEPARTMENTS	05	ADUTI	1991	ORIGINAL	13
1992	NON-MINISTRY DEPARTMENTS	05	ADUTI	1991	REVISED	14
