BudgetBookVersion	ObjectCode	BudgetYear	DataVersion	DataValue
2024/25	SALARIES	2022/23	ACTUAL	304705
2024/25	SALARIES	2023/24	ORIGINAL	340866
2024/25	SALARIES	2023/24	REVISED	336877
2024/25	SALARIES	2024/25	ESTIMATE	361114
2024/25	WAGES	2022/23	ACTUAL	77601
2024/25	WAGES	2023/24	ORIGINAL	69792
2024/25	WAGES	2023/24	REVISED	69755
2024/25	WAGES	2024/25	ESTIMATE	74543
2024/25	EMPLOYER OVERHEAD	2022/23	ACTUAL	75701
2024/25	EMPLOYER OVERHEAD	2023/24	ORIGINAL	75885
2024/25	EMPLOYER OVERHEAD	2023/24	REVISED	77759
2024/25	EMPLOYER OVERHEAD	2024/25	ESTIMATE	80096
2024/25	OTHER PERSONNEL COSTS	2022/23	ACTUAL	5161
2024/25	OTHER PERSONNEL COSTS	2023/24	ORIGINAL	5702
2024/25	OTHER PERSONNEL COSTS	2023/24	REVISED	5787
2024/25	OTHER PERSONNEL COSTS	2024/25	ESTIMATE	5752
2024/25	TRAINING	2022/23	ACTUAL	2162
2024/25	TRAINING	2023/24	ORIGINAL	4268
2024/25	TRAINING	2023/24	REVISED	3472
2024/25	TRAINING	2024/25	ESTIMATE	4107
2024/25	TRANSPORT	2022/23	ACTUAL	1839
2024/25	TRANSPORT	2023/24	ORIGINAL	2131
2024/25	TRANSPORT	2023/24	REVISED	1185
2024/25	TRANSPORT	2024/25	ESTIMATE	2179
2024/25	TRAVEL	2022/23	ACTUAL	2025
2024/25	TRAVEL	2023/24	ORIGINAL	3214
2024/25	TRAVEL	2023/24	REVISED	3205
2024/25	TRAVEL	2024/25	ESTIMATE	3362
2024/25	COMMUNICATIONS	2022/23	ACTUAL	6482
2024/25	COMMUNICATIONS	2023/24	ORIGINAL	7384
2024/25	COMMUNICATIONS	2023/24	REVISED	7311
2024/25	COMMUNICATIONS	2024/25	ESTIMATE	7281
2024/25	ADVERTISING & PROMOTION	2022/23	ACTUAL	925
2024/25	ADVERTISING & PROMOTION	2023/24	ORIGINAL	1825
2024/25	ADVERTISING & PROMOTION	2023/24	REVISED	1655
2024/25	ADVERTISING & PROMOTION	2024/25	ESTIMATE	1945
2024/25	PROFESSIONAL SERVICES	2022/23	ACTUAL	63713
2024/25	PROFESSIONAL SERVICES	2023/24	ORIGINAL	64361
2024/25	PROFESSIONAL SERVICES	2023/24	REVISED	69332
2024/25	PROFESSIONAL SERVICES	2024/25	ESTIMATE	60497
2024/25	RENTALS	2022/23	ACTUAL	10648
2024/25	RENTALS	2023/24	ORIGINAL	13478
2024/25	RENTALS	2023/24	REVISED	12319
2024/25	RENTALS	2024/25	ESTIMATE	13345
2024/25	REPAIR AND MAINTENANCE	2022/23	ACTUAL	18234
2024/25	REPAIR AND MAINTENANCE	2023/24	ORIGINAL	21575
2024/25	REPAIR AND MAINTENANCE	2023/24	REVISED	20370
2024/25	REPAIR AND MAINTENANCE	2024/25	ESTIMATE	21816
2024/25	INSURANCE	2022/23	ACTUAL	10166
2024/25	INSURANCE	2023/24	ORIGINAL	9455
2024/25	INSURANCE	2023/24	REVISED	10883
2024/25	INSURANCE	2024/25	ESTIMATE	9506
2024/25	ENERGY	2022/23	ACTUAL	14732
2024/25	ENERGY	2023/24	ORIGINAL	17467
2024/25	ENERGY	2023/24	REVISED	16145
2024/25	ENERGY	2024/25	ESTIMATE	16861
2024/25	CLOTHING, UNIFORMS, LAUNDRY	2022/23	ACTUAL	1067
2024/25	CLOTHING, UNIFORMS, LAUNDRY	2023/24	ORIGINAL	1253
2024/25	CLOTHING, UNIFORMS, LAUNDRY	2023/24	REVISED	1201
2024/25	CLOTHING, UNIFORMS, LAUNDRY	2024/25	ESTIMATE	1243
2024/25	MATERIALS & SUPPLIES	2022/23	ACTUAL	22343
2024/25	MATERIALS & SUPPLIES	2023/24	ORIGINAL	24172
2024/25	MATERIALS & SUPPLIES	2023/24	REVISED	22929
2024/25	MATERIALS & SUPPLIES	2024/25	ESTIMATE	23915
2024/25	EQUIPMENT PURCHASES	2022/23	ACTUAL	1225
2024/25	EQUIPMENT PURCHASES	2023/24	ORIGINAL	561
2024/25	EQUIPMENT PURCHASES	2023/24	REVISED	780
2024/25	EQUIPMENT PURCHASES	2024/25	ESTIMATE	1166
2024/25	OTHER EXPENSES	2022/23	ACTUAL	3514
2024/25	OTHER EXPENSES	2023/24	ORIGINAL	3448
2024/25	OTHER EXPENSES	2023/24	REVISED	3243
2024/25	OTHER EXPENSES	2024/25	ESTIMATE	3504
2024/25	RECEIPTS TO CREDITED TO PROGRAM	2022/23	ACTUAL	0
2024/25	RECEIPTS TO CREDITED TO PROGRAM	2023/24	ORIGINAL	-19098
2024/25	RECEIPTS TO CREDITED TO PROGRAM	2023/24	REVISED	-12539
2024/25	RECEIPTS TO CREDITED TO PROGRAM	2024/25	ESTIMATE	-19828
2024/25	GOVT. GRANTS & CONTRIBUTIONS	2022/23	ACTUAL	328994
2024/25	GOVT. GRANTS & CONTRIBUTIONS	2023/24	ORIGINAL	325298
2024/25	GOVT. GRANTS & CONTRIBUTIONS	2023/24	REVISED	337807
2024/25	GOVT. GRANTS & CONTRIBUTIONS	2024/25	ESTIMATE	319769
2024/25	DEBT CHARGES	2022/23	ACTUAL	136515
2024/25	DEBT CHARGES	2023/24	ORIGINAL	129995
2024/25	DEBT CHARGES	2023/24	REVISED	129209
2024/25	DEBT CHARGES	2024/25	ESTIMATE	127622
2023/24	SALARIES	2021/22	ACTUAL	306197
2023/24	SALARIES	2022/23	ORIGINAL	331699
2023/24	SALARIES	2022/23	REVISED	323163
2023/24	SALARIES	2023/24	ESTIMATE	340866
2023/24	WAGES	2021/22	ACTUAL	71790
