BudgetBookVersion	Ministry	HeadNumber	HeadName	BudgetYear	DataVersion	DataValue
2024	NON-MINISTRY DEPARTMENTS	01	GOVERNOR & STAFF	2022	ACTUAL	1642
2024	NON-MINISTRY DEPARTMENTS	01	GOVERNOR & STAFF	2023	ORIGINAL	1362
2024	NON-MINISTRY DEPARTMENTS	01	GOVERNOR & STAFF	2023	REVISED	1362
2024	NON-MINISTRY DEPARTMENTS	01	GOVERNOR & STAFF	2024	ESTIMATE	1411
2024	NON-MINISTRY DEPARTMENTS	02	LEGISLATURE	2022	ACTUAL	5201
2024	NON-MINISTRY DEPARTMENTS	02	LEGISLATURE	2023	ORIGINAL	5374
2024	NON-MINISTRY DEPARTMENTS	02	LEGISLATURE	2023	REVISED	5374
2024	NON-MINISTRY DEPARTMENTS	02	LEGISLATURE	2024	ESTIMATE	5441
2024	NON-MINISTRY DEPARTMENTS	05	OFFICE OF THE AUDITOR	2022	ACTUAL	3076
2024	NON-MINISTRY DEPARTMENTS	05	OFFICE OF THE AUDITOR	2023	ORIGINAL	4196
2024	NON-MINISTRY DEPARTMENTS	05	OFFICE OF THE AUDITOR	2023	REVISED	3913
2024	NON-MINISTRY DEPARTMENTS	05	OFFICE OF THE AUDITOR	2024	ESTIMATE	4180
2024	NON-MINISTRY DEPARTMENTS	56	HUMAN RIGHTS COMMISSION	2022	ACTUAL	1190
2024	NON-MINISTRY DEPARTMENTS	56	HUMAN RIGHTS COMMISSION	2023	ORIGINAL	1347
2024	NON-MINISTRY DEPARTMENTS	56	HUMAN RIGHTS COMMISSION	2023	REVISED	1347
2024	NON-MINISTRY DEPARTMENTS	56	HUMAN RIGHTS COMMISSION	2024	ESTIMATE	1380
2024	NON-MINISTRY DEPARTMENTS	63	PARLIAMENTARY REGISTRAR	2022	ACTUAL	722
2024	NON-MINISTRY DEPARTMENTS	63	PARLIAMENTARY REGISTRAR	2023	ORIGINAL	1255
2024	NON-MINISTRY DEPARTMENTS	63	PARLIAMENTARY REGISTRAR	2023	REVISED	1255
2024	NON-MINISTRY DEPARTMENTS	63	PARLIAMENTARY REGISTRAR	2024	ESTIMATE	1279
2024	NON-MINISTRY DEPARTMENTS	85	OMBUDSMAN'S OFFICE	2022	ACTUAL	975
2024	NON-MINISTRY DEPARTMENTS	85	OMBUDSMAN'S OFFICE	2023	ORIGINAL	1017
2024	NON-MINISTRY DEPARTMENTS	85	OMBUDSMAN'S OFFICE	2023	REVISED	1017
2024	NON-MINISTRY DEPARTMENTS	85	OMBUDSMAN'S OFFICE	2024	ESTIMATE	1050
2024	NON-MINISTRY DEPARTMENTS	92	INTERNAL AUDIT	2022	ACTUAL	977
2024	NON-MINISTRY DEPARTMENTS	92	INTERNAL AUDIT	2023	ORIGINAL	1170
2024	NON-MINISTRY DEPARTMENTS	92	INTERNAL AUDIT	2023	REVISED	906
2024	NON-MINISTRY DEPARTMENTS	92	INTERNAL AUDIT	2024	ESTIMATE	1055
2024	NON-MINISTRY DEPARTMENTS	98	INFORMATION COMMISSIONER'S OFFICE	2022	ACTUAL	1149
2024	NON-MINISTRY DEPARTMENTS	98	INFORMATION COMMISSIONER'S OFFICE	2023	ORIGINAL	1078
2024	NON-MINISTRY DEPARTMENTS	98	INFORMATION COMMISSIONER'S OFFICE	2023	REVISED	1278
2024	NON-MINISTRY DEPARTMENTS	98	INFORMATION COMMISSIONER'S OFFICE	2024	ESTIMATE	1117
2024	NON-MINISTRY DEPARTMENTS	101	PRIVACY COMMISSIONER'S OFFICE	2022	ACTUAL	942
2024	NON-MINISTRY DEPARTMENTS	101	PRIVACY COMMISSIONER'S OFFICE	2023	ORIGINAL	1861
2024	NON-MINISTRY DEPARTMENTS	101	PRIVACY COMMISSIONER'S OFFICE	2023	REVISED	1861
2024	NON-MINISTRY DEPARTMENTS	101	PRIVACY COMMISSIONER'S OFFICE	2024	ESTIMATE	2130
2024	CABINET OFFICE DEPARTMENTS	09	CABINET OFFICE	2022	ACTUAL	30613
2024	CABINET OFFICE DEPARTMENTS	09	CABINET OFFICE	2023	ORIGINAL	31763
2024	CABINET OFFICE DEPARTMENTS	09	CABINET OFFICE	2023	REVISED	31033
2024	CABINET OFFICE DEPARTMENTS	09	CABINET OFFICE	2024	ESTIMATE	12171
2024	CABINET OFFICE DEPARTMENTS	13	POST OFFICE	2022	ACTUAL	9745
2024	CABINET OFFICE DEPARTMENTS	13	POST OFFICE	2023	ORIGINAL	9285
2024	CABINET OFFICE DEPARTMENTS	13	POST OFFICE	2023	REVISED	9285
2024	CABINET OFFICE DEPARTMENTS	13	POST OFFICE	2024	ESTIMATE	9620
2024	CABINET OFFICE DEPARTMENTS	32	DEPT. OF PLANNING	2022	ACTUAL	2903
2024	CABINET OFFICE DEPARTMENTS	32	DEPT. OF PLANNING	2023	ORIGINAL	3596
2024	CABINET OFFICE DEPARTMENTS	32	DEPT. OF PLANNING	2023	REVISED	3062
2024	CABINET OFFICE DEPARTMENTS	32	DEPT. OF PLANNING	2024	ESTIMATE	3838
2024	CABINET OFFICE DEPARTMENTS	43	DEPT. OF INFORMATION & DIGITAL TECH.	2022	ACTUAL	7457
2024	CABINET OFFICE DEPARTMENTS	43	DEPT. OF INFORMATION & DIGITAL TECH.	2023	ORIGINAL	8218
2024	CABINET OFFICE DEPARTMENTS	43	DEPT. OF INFORMATION & DIGITAL TECH.	2023	REVISED	8218
2024	CABINET OFFICE DEPARTMENTS	43	DEPT. OF INFORMATION & DIGITAL TECH.	2024	ESTIMATE	8505
2024	CABINET OFFICE DEPARTMENTS	51	DEPT. OF COMMUNICATIONS	2022	ACTUAL	2815
2024	CABINET OFFICE DEPARTMENTS	51	DEPT. OF COMMUNICATIONS	2023	ORIGINAL	3308
2024	CABINET OFFICE DEPARTMENTS	51	DEPT. OF COMMUNICATIONS	2023	REVISED	3308
2024	CABINET OFFICE DEPARTMENTS	51	DEPT. OF COMMUNICATIONS	2024	ESTIMATE	3397
2024	CABINET OFFICE DEPARTMENTS	61	DEPT. OF EMP & ORG. DEVELOPMENT	2022	ACTUAL	6595
2024	CABINET OFFICE DEPARTMENTS	61	DEPT. OF EMP & ORG. DEVELOPMENT	2023	ORIGINAL	7598
2024	CABINET OFFICE DEPARTMENTS	61	DEPT. OF EMP & ORG. DEVELOPMENT	2023	REVISED	7598
2024	CABINET OFFICE DEPARTMENTS	61	DEPT. OF EMP & ORG. DEVELOPMENT	2024	ESTIMATE	7962
2024	CABINET OFFICE DEPARTMENTS	80	PROJECT MANAGEMENT & PROCUREMENT	2022	ACTUAL	591
2024	CABINET OFFICE DEPARTMENTS	80	PROJECT MANAGEMENT & PROCUREMENT	2023	ORIGINAL	840
2024	CABINET OFFICE DEPARTMENTS	80	PROJECT MANAGEMENT & PROCUREMENT	2023	REVISED	840
2024	CABINET OFFICE DEPARTMENTS	80	PROJECT MANAGEMENT & PROCUREMENT	2024	ESTIMATE	874
2024	MINISTRY OF LEGAL AFFAIRS	87	MIN. OF LEGAL AFFAIRS HQ	2022	ACTUAL	5577
2024	MINISTRY OF LEGAL AFFAIRS	87	MIN. OF LEGAL AFFAIRS HQ	2023	ORIGINAL	6006
2024	MINISTRY OF LEGAL AFFAIRS	87	MIN. OF LEGAL AFFAIRS HQ	2023	REVISED	6006
2024	MINISTRY OF LEGAL AFFAIRS	87	MIN. OF LEGAL AFFAIRS HQ	2024	ESTIMATE	5803
2024	MINISTRY OF LEGAL AFFAIRS	03	JUDICIAL DEPARTMENT	2022	ACTUAL	8473
2024	MINISTRY OF LEGAL AFFAIRS	03	JUDICIAL DEPARTMENT	2023	ORIGINAL	9392
2024	MINISTRY OF LEGAL AFFAIRS	03	JUDICIAL DEPARTMENT	2023	REVISED	9392
2024	MINISTRY OF LEGAL AFFAIRS	03	JUDICIAL DEPARTMENT	2024	ESTIMATE	9551
2024	MINISTRY OF LEGAL AFFAIRS	04	ATTORNEY GENERAL'S CHAMBERS	2022	ACTUAL	4435
2024	MINISTRY OF LEGAL AFFAIRS	04	ATTORNEY GENERAL'S CHAMBERS	2023	ORIGINAL	5544
2024	MINISTRY OF LEGAL AFFAIRS	04	ATTORNEY GENERAL'S CHAMBERS	2023	REVISED	5544
2024	MINISTRY OF LEGAL AFFAIRS	04	ATTORNEY GENERAL'S CHAMBERS	2024	ESTIMATE	5702
2024	MINISTRY OF LEGAL AFFAIRS	74	DEPT. OF COURT SERVICES	2022	ACTUAL	3966
2024	MINISTRY OF LEGAL AFFAIRS	74	DEPT. OF COURT SERVICES	2023	ORIGINAL	4590
2024	MINISTRY OF LEGAL AFFAIRS	74	DEPT. OF COURT SERVICES	2023	REVISED	4590
2024	MINISTRY OF LEGAL AFFAIRS	74	DEPT. OF COURT SERVICES	2024	ESTIMATE	4397
2024	MINISTRY OF LEGAL AFFAIRS	75	DEPT. OF PUBLIC PROSECUTIONS	2022	ACTUAL	2736
2024	MINISTRY OF LEGAL AFFAIRS	75	DEPT. OF PUBLIC PROSECUTIONS	2023	ORIGINAL	3625
2024	MINISTRY OF LEGAL AFFAIRS	75	DEPT. OF PUBLIC PROSECUTIONS	2023	REVISED	3625
2024	MINISTRY OF LEGAL AFFAIRS	75	DEPT. OF PUBLIC PROSECUTIONS	2024	ESTIMATE	3703
2024	MINISTRY OF LEGAL AFFAIRS	88	NATIONAL DRUG CONTROL	2022	ACTUAL	3761
2024	MINISTRY OF LEGAL AFFAIRS	88	NATIONAL DRUG CONTROL	2023	ORIGINAL	4064
2024	MINISTRY OF LEGAL AFFAIRS	88	NATIONAL DRUG CONTROL	2023	REVISED	4064
2024	MINISTRY OF LEGAL AFFAIRS	88	NATIONAL DRUG CONTROL	2024	ESTIMATE	4054
2024	MINISTRY OF FINANCE	10	MIN. OF FINANCE HQ	2022	ACTUAL	9146
2024	MINISTRY OF FINANCE	10	MIN. OF FINANCE HQ	2023	ORIGINAL	6790
2024	MINISTRY OF FINANCE	10	MIN. OF FINANCE HQ	2023	REVISED	13112
2024	MINISTRY OF FINANCE	10	MIN. OF FINANCE HQ	2024	ESTIMATE	7179
2024	MINISTRY OF FINANCE	11	ACCOUNTANT GENERAL	2022	ACTUAL	79003
2024	MINISTRY OF FINANCE	11	ACCOUNTANT GENERAL	2023	ORIGINAL	82209
2024	MINISTRY OF FINANCE	11	ACCOUNTANT GENERAL	2023	REVISED	82945
2024	MINISTRY OF FINANCE	11	ACCOUNTANT GENERAL	2024	ESTIMATE	86407
2024	MINISTRY OF FINANCE	28	SOCIAL INSURANCE	2022	ACTUAL	3369
2024	MINISTRY OF FINANCE	28	SOCIAL INSURANCE	2023	ORIGINAL	3532
2024	MINISTRY OF FINANCE	28	SOCIAL INSURANCE	2023	REVISED	3154
2024	MINISTRY OF FINANCE	28	SOCIAL INSURANCE	2024	ESTIMATE	3000
