BudgetBookVersion	AnalysisGroup	HeadNumber	RevenueDescription	BudgetYear	DataVersion	DataValue
2024/25	TAXES & DUTIES	12	CUSTOMS DUTY	2022/23	ACTUAL	225055
2024/25	TAXES & DUTIES	12	CUSTOMS DUTY	2023/24	ORIGINAL	227264
2024/25	TAXES & DUTIES	12	CUSTOMS DUTY	2023/24	REVISED	227261
2024/25	TAXES & DUTIES	12	CUSTOMS DUTY	2024/25	ESTIMATE	233864
2024/25	TAXES & DUTIES	38	PASSENGER TAXES	2022/23	ACTUAL	18754
2024/25	TAXES & DUTIES	38	PASSENGER TAXES	2023/24	ORIGINAL	27305
2024/25	TAXES & DUTIES	38	PASSENGER TAXES	2023/24	REVISED	24700
2024/25	TAXES & DUTIES	38	PASSENGER TAXES	2024/25	ESTIMATE	26400
2024/25	TAXES & DUTIES	38	STAMP DUTIES	2022/23	ACTUAL	28827
2024/25	TAXES & DUTIES	38	STAMP DUTIES	2023/24	ORIGINAL	32254
2024/25	TAXES & DUTIES	38	STAMP DUTIES	2023/24	REVISED	27500
2024/25	TAXES & DUTIES	38	STAMP DUTIES	2024/25	ESTIMATE	27500
2024/25	TAXES & DUTIES	38	BETTING TAX	2022/23	ACTUAL	1
2024/25	TAXES & DUTIES	38	BETTING TAX	2023/24	ORIGINAL	15
2024/25	TAXES & DUTIES	38	BETTING TAX	2023/24	REVISED	4
2024/25	TAXES & DUTIES	38	BETTING TAX	2024/25	ESTIMATE	0
2024/25	TAXES & DUTIES	38	LAND TAX	2022/23	ACTUAL	85793
2024/25	TAXES & DUTIES	38	LAND TAX	2023/24	ORIGINAL	87195
2024/25	TAXES & DUTIES	38	LAND TAX	2023/24	REVISED	90346
2024/25	TAXES & DUTIES	38	LAND TAX	2024/25	ESTIMATE	91250
2024/25	TAXES & DUTIES	38	FOREIGN CURRENCY PURCHASE TAX	2022/23	ACTUAL	30217
2024/25	TAXES & DUTIES	38	FOREIGN CURRENCY PURCHASE TAX	2023/24	ORIGINAL	30800
2024/25	TAXES & DUTIES	38	FOREIGN CURRENCY PURCHASE TAX	2023/24	REVISED	30800
2024/25	TAXES & DUTIES	38	FOREIGN CURRENCY PURCHASE TAX	2024/25	ESTIMATE	31108
2024/25	TAXES & DUTIES	38	PAYROLL TAX	2022/23	ACTUAL	486879
2024/25	TAXES & DUTIES	38	PAYROLL TAX	2023/24	ORIGINAL	512500
2024/25	TAXES & DUTIES	38	PAYROLL TAX	2023/24	REVISED	522183
2024/25	TAXES & DUTIES	38	PAYROLL TAX	2024/25	ESTIMATE	580459
2024/25	TAXES & DUTIES	38	HOTEL OCCUPANCY	2022/23	ACTUAL	2779
2024/25	TAXES & DUTIES	38	HOTEL OCCUPANCY	2023/24	ORIGINAL	6496
2024/25	TAXES & DUTIES	38	HOTEL OCCUPANCY	2023/24	REVISED	5400
2024/25	TAXES & DUTIES	38	HOTEL OCCUPANCY	2024/25	ESTIMATE	5500
2024/25	TAXES & DUTIES	38	CORPORATE SERVICE TAX	2022/23	ACTUAL	5058
2024/25	TAXES & DUTIES	38	CORPORATE SERVICE TAX	2023/24	ORIGINAL	5250
2024/25	TAXES & DUTIES	38	CORPORATE SERVICE TAX	2023/24	REVISED	5250
2024/25	TAXES & DUTIES	38	CORPORATE SERVICE TAX	2024/25	ESTIMATE	5250
2024/25	TAXES & DUTIES	38	FINANCIAL SERVICES TAX	2022/23	ACTUAL	13924
2024/25	TAXES & DUTIES	38	FINANCIAL SERVICES TAX	2023/24	ORIGINAL	14539
2024/25	TAXES & DUTIES	38	FINANCIAL SERVICES TAX	2023/24	REVISED	14539
2024/25	TAXES & DUTIES	38	FINANCIAL SERVICES TAX	2024/25	ESTIMATE	14611
2024/25	TAXES & DUTIES	38	TRANSPORT INFRASTRUCTURE TAX	2022/23	ACTUAL	8940
2024/25	TAXES & DUTIES	38	TRANSPORT INFRASTRUCTURE TAX	2023/24	ORIGINAL	11805
