BudgetBookVersion	Ministry	HeadNumber	HeadName	BudgetYear	DataVersion	DataValue
2024	NON-MINISTRY DEPARTMENTS	05	Office of The Auditor	2022	ACTUAL	415
2024	NON-MINISTRY DEPARTMENTS	05	Office of The Auditor	2023	ORIGINAL	828
2024	NON-MINISTRY DEPARTMENTS	05	Office of The Auditor	2023	REVISED	447
2024	NON-MINISTRY DEPARTMENTS	05	Office of The Auditor	2024	ESTIMATE	581
2024	NON-MINISTRY DEPARTMENTS	63	Parliamentary Register	2022	ACTUAL	261
2024	NON-MINISTRY DEPARTMENTS	63	Parliamentary Register	2023	ORIGINAL	250
2024	NON-MINISTRY DEPARTMENTS	63	Parliamentary Register	2023	REVISED	250
2024	NON-MINISTRY DEPARTMENTS	63	Parliamentary Register	2024	ESTIMATE	250
2024	CABINET OFFICE DEPARTMENTS	09	CABINET OFFICE	2022	ACTUAL	492
2024	CABINET OFFICE DEPARTMENTS	09	CABINET OFFICE	2023	ORIGINAL	588
2024	CABINET OFFICE DEPARTMENTS	09	CABINET OFFICE	2023	REVISED	338
2024	CABINET OFFICE DEPARTMENTS	09	CABINET OFFICE	2024	ESTIMATE	50
2024	CABINET OFFICE DEPARTMENTS	13	POST OFFICE	2022	ACTUAL	2390
2024	CABINET OFFICE DEPARTMENTS	13	POST OFFICE	2023	ORIGINAL	3176
2024	CABINET OFFICE DEPARTMENTS	13	POST OFFICE	2023	REVISED	2648
2024	CABINET OFFICE DEPARTMENTS	13	POST OFFICE	2024	ESTIMATE	2829
2024	CABINET OFFICE DEPARTMENTS	32	DEPT. OF PLANNING	2022	ACTUAL	1912
2024	CABINET OFFICE DEPARTMENTS	32	DEPT. OF PLANNING	2023	ORIGINAL	1555
2024	CABINET OFFICE DEPARTMENTS	32	DEPT. OF PLANNING	2023	REVISED	1788
2024	CABINET OFFICE DEPARTMENTS	32	DEPT. OF PLANNING	2024	ESTIMATE	1691
2024	CABINET OFFICE DEPARTMENTS	61	DEPT. OF EMP & ORG. DEVELOPMENT	2022	ACTUAL	24
2024	CABINET OFFICE DEPARTMENTS	61	DEPT. OF EMP & ORG. DEVELOPMENT	2023	ORIGINAL	0
2024	CABINET OFFICE DEPARTMENTS	61	DEPT. OF EMP & ORG. DEVELOPMENT	2023	REVISED	0
2024	CABINET OFFICE DEPARTMENTS	61	DEPT. OF EMP & ORG. DEVELOPMENT	2024	ESTIMATE	0
2024	MINISTRY OF LEGAL AFFAIRS	87	MIN. OF LEGAL AFFAIRS HQ	2022	ACTUAL	0
2024	MINISTRY OF LEGAL AFFAIRS	87	MIN. OF LEGAL AFFAIRS HQ	2023	ORIGINAL	17
2024	MINISTRY OF LEGAL AFFAIRS	87	MIN. OF LEGAL AFFAIRS HQ	2023	REVISED	17
2024	MINISTRY OF LEGAL AFFAIRS	87	MIN. OF LEGAL AFFAIRS HQ	2024	ESTIMATE	59
2024	MINISTRY OF LEGAL AFFAIRS	03	JUDICIAL DEPARTMENT	2022	ACTUAL	4972
2024	MINISTRY OF LEGAL AFFAIRS	03	JUDICIAL DEPARTMENT	2023	ORIGINAL	5527
2024	MINISTRY OF LEGAL AFFAIRS	03	JUDICIAL DEPARTMENT	2023	REVISED	4464
2024	MINISTRY OF LEGAL AFFAIRS	03	JUDICIAL DEPARTMENT	2024	ESTIMATE	4329
2024	MINISTRY OF LEGAL AFFAIRS	04	ATTORNEY GENERAL'S CHAMBERS	2022	ACTUAL	28
2024	MINISTRY OF LEGAL AFFAIRS	04	ATTORNEY GENERAL'S CHAMBERS	2023	ORIGINAL	0
2024	MINISTRY OF LEGAL AFFAIRS	04	ATTORNEY GENERAL'S CHAMBERS	2023	REVISED	0
2024	MINISTRY OF LEGAL AFFAIRS	04	ATTORNEY GENERAL'S CHAMBERS	2024	ESTIMATE	0
2024	MINISTRY OF LEGAL AFFAIRS	75	DEPT. OF PUBLIC PROSECUTIONS	2022	ACTUAL	4
2024	MINISTRY OF LEGAL AFFAIRS	75	DEPT. OF PUBLIC PROSECUTIONS	2023	ORIGINAL	0
2024	MINISTRY OF LEGAL AFFAIRS	75	DEPT. OF PUBLIC PROSECUTIONS	2023	REVISED	0
2024	MINISTRY OF LEGAL AFFAIRS	75	DEPT. OF PUBLIC PROSECUTIONS	2024	ESTIMATE	0
2024	MINISTRY OF LEGAL AFFAIRS	88	NATIONAL DRUG CONTROL	2022	ACTUAL	0
2024	MINISTRY OF LEGAL AFFAIRS	88	NATIONAL DRUG CONTROL	2023	ORIGINAL	0
2024	MINISTRY OF LEGAL AFFAIRS	88	NATIONAL DRUG CONTROL	2023	REVISED	0
2024	MINISTRY OF LEGAL AFFAIRS	88	NATIONAL DRUG CONTROL	2024	ESTIMATE	8
2024	MINISTRY OF FINANCE	10	MIN OF FINANCE HQ	2022	ACTUAL	1082
2024	MINISTRY OF FINANCE	10	MIN OF FINANCE HQ	2023	ORIGINAL	0
2024	MINISTRY OF FINANCE	10	MIN OF FINANCE HQ	2023	REVISED	0
2024	MINISTRY OF FINANCE	10	MIN OF FINANCE HQ	2024	ESTIMATE	0
2024	MINISTRY OF FINANCE	11	ACCOUNTANT GENERAL	2022	ACTUAL	8192
2024	MINISTRY OF FINANCE	11	ACCOUNTANT GENERAL	2023	ORIGINAL	750
2024	MINISTRY OF FINANCE	11	ACCOUNTANT GENERAL	2023	REVISED	3501
2024	MINISTRY OF FINANCE	11	ACCOUNTANT GENERAL	2024	ESTIMATE	1999
2024	MINISTRY OF FINANCE	12	CUSTOMS	2022	ACTUAL	229522
2024	MINISTRY OF FINANCE	12	CUSTOMS	2023	ORIGINAL	231855
2024	MINISTRY OF FINANCE	12	CUSTOMS	2023	REVISED	231757
2024	MINISTRY OF FINANCE	12	CUSTOMS	2024	ESTIMATE	238676
2024	MINISTRY OF FINANCE	38	OFFICE OF THE TAX COMMISSIONER	2022	ACTUAL	679065
2024	MINISTRY OF FINANCE	38	OFFICE OF THE TAX COMMISSIONER	2023	ORIGINAL	726659
2024	MINISTRY OF FINANCE	38	OFFICE OF THE TAX COMMISSIONER	2023	REVISED	729952
2024	MINISTRY OF FINANCE	38	OFFICE OF THE TAX COMMISSIONER	2024	ESTIMATE	792609
2024	MINISTRY OF FINANCE	39	REGISTRAR OF COMPANIES	2022	ACTUAL	66920
2024	MINISTRY OF FINANCE	39	REGISTRAR OF COMPANIES	2023	ORIGINAL	76648
2024	MINISTRY OF FINANCE	39	REGISTRAR OF COMPANIES	2023	REVISED	76074
2024	MINISTRY OF FINANCE	39	REGISTRAR OF COMPANIES	2024	ESTIMATE	76508
2024	MINISTRY OF EDUCATION	17	DEPT. OF EDUCATION	2022	ACTUAL	96
2024	MINISTRY OF EDUCATION	17	DEPT. OF EDUCATION	2023	ORIGINAL	248
2024	MINISTRY OF EDUCATION	17	DEPT. OF EDUCATION	2023	REVISED	248
2024	MINISTRY OF EDUCATION	17	DEPT. OF EDUCATION	2024	ESTIMATE	248
2024	MINISTRY OF EDUCATION	18	LIBRARIES & ARCHIVES	2022	ACTUAL	7
2024	MINISTRY OF EDUCATION	18	LIBRARIES & ARCHIVES	2023	ORIGINAL	10
2024	MINISTRY OF EDUCATION	18	LIBRARIES & ARCHIVES	2023	REVISED	7
2024	MINISTRY OF EDUCATION	18	LIBRARIES & ARCHIVES	2024	ESTIMATE	14
2024	MINISTRY OF HEALTH	21	MIN. OF HEALTH HQ	2022	ACTUAL	23850
2024	MINISTRY OF HEALTH	21	MIN. OF HEALTH HQ	2023	ORIGINAL	55
2024	MINISTRY OF HEALTH	21	MIN. OF HEALTH HQ	2023	REVISED	24
2024	MINISTRY OF HEALTH	21	MIN. OF HEALTH HQ	2024	ESTIMATE	72
2024	MINISTRY OF HEALTH	22	DEPT. OF HEALTH	2022	ACTUAL	3750
2024	MINISTRY OF HEALTH	22	DEPT. OF HEALTH	2023	ORIGINAL	3606
2024	MINISTRY OF HEALTH	22	DEPT. OF HEALTH	2023	REVISED	3326
2024	MINISTRY OF HEALTH	22	DEPT. OF HEALTH	2024	ESTIMATE	3633
2024	MINISTRY OF ECONOMY & LABOUR	44	MIN. OF ECONOMY & LABOUR HQ	2022	ACTUAL	11
2024	MINISTRY OF ECONOMY & LABOUR	44	MIN. OF ECONOMY & LABOUR HQ	2023	ORIGINAL	0
2024	MINISTRY OF ECONOMY & LABOUR	44	MIN. OF ECONOMY & LABOUR HQ	2023	REVISED	0
2024	MINISTRY OF ECONOMY & LABOUR	44	MIN. OF ECONOMY & LABOUR HQ	2024	ESTIMATE	0
2024	MINISTRY OF ECONOMY & LABOUR	27	IMMIGRATION	2022	ACTUAL	18542
2024	MINISTRY OF ECONOMY & LABOUR	27	IMMIGRATION	2023	ORIGINAL	19784
2024	MINISTRY OF ECONOMY & LABOUR	27	IMMIGRATION	2023	REVISED	18888
2024	MINISTRY OF ECONOMY & LABOUR	27	IMMIGRATION	2024	ESTIMATE	21650
2024	MINISTRY OF ECONOMY & LABOUR	60	WORKFORCE DEVELOPMENT	2022	ACTUAL	4
2024	MINISTRY OF ECONOMY & LABOUR	60	WORKFORCE DEVELOPMENT	2023	ORIGINAL	0
